Term,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,CreditScoreRangeLower,CreditScoreRangeUpper,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanCurrentDaysDelinquent,LoanMonthsSinceOrigination,LoanOriginalAmount,LoanOriginationQuarter,MonthlyLoanPayment,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,decision
36,2,CO,Professional,Employed,44.0,False,False,680.0,699.0,14.0,14.0,29.0,13,389.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,3989.0,0.21,10266.0,29.0,1.0,2.0,0.18,"$50,000-74,999",True,6125.0,0,0,10000,Q1 2014,318.93,1.0,0,0,0.0,1,Approved
36,16,GA,Skilled Labor,Employed,113.0,True,False,800.0,819.0,5.0,5.0,29.0,7,115.0,0.0,1.0,4.0,10056.0,14.0,0.0,0.0,1444.0,0.04,30754.0,26.0,0.76,0.0,0.15,"$25,000-49,999",True,2875.0,0,16,10000,Q4 2012,321.45,1.0,0,0,0.0,158,Approved
36,2,MN,Executive,Employed,44.0,True,False,680.0,699.0,19.0,19.0,49.0,6,220.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,6193.0,0.81,695.0,39.0,0.95,2.0,0.26,"$100,000+",True,9583.333333,0,6,15000,Q3 2013,563.97,1.0,0,0,0.0,20,Denied
60,1,NM,Professional,Employed,82.0,True,False,740.0,759.0,21.0,17.0,49.0,13,1410.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,62999.0,0.39,86509.0,47.0,1.0,0.0,0.36,"$100,000+",True,8333.333333,0,3,15000,Q4 2013,342.37,1.0,0,0,0.0,1,Review
36,1,KS,Sales - Retail,Employed,172.0,False,False,680.0,699.0,10.0,7.0,20.0,6,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5812.0,0.72,1929.0,16.0,0.68,0.0,0.27,"$25,000-49,999",True,2083.333333,0,11,3000,Q2 2013,122.67,1.0,0,0,0.0,1,Denied
36,2,CA,Laborer,Employed,103.0,False,False,700.0,719.0,6.0,6.0,10.0,5,101.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,1260.0,0.13,2181.0,10.0,0.8,0.0,0.24,"$25,000-49,999",True,3355.75,0,10,10000,Q2 2013,372.6,1.0,0,0,0.0,1,Review
36,7,IL,Food Service,Employed,269.0,True,False,820.0,839.0,17.0,16.0,32.0,12,219.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9906.0,0.11,77696.0,29.0,1.0,1.0,0.25,"$25,000-49,999",True,3333.333333,0,3,10000,Q4 2013,305.54,1.0,0,0,0.0,1,Approved
36,7,IL,Food Service,Employed,269.0,True,False,820.0,839.0,17.0,16.0,32.0,12,219.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9906.0,0.11,77696.0,29.0,1.0,1.0,0.25,"$25,000-49,999",True,3333.333333,0,3,10000,Q4 2013,305.54,1.0,0,0,0.0,1,Approved
60,1,MD,Fireman,Employed,300.0,False,False,640.0,659.0,2.0,2.0,56.0,4,25.0,1.0,2.0,1.0,253.0,28.0,1.0,0.0,387.0,0.51,363.0,47.0,0.72,0.0,0.12,"$75,000-99,999",True,7500.0,0,22,13500,Q2 2012,395.37,1.0,0,0,0.0,19,Review
36,1,AL,Sales - Retail,Employed,1.0,False,False,680.0,699.0,9.0,7.0,29.0,8,290.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8624.0,0.7,3626.0,20.0,1.0,0.0,0.18,"$25,000-49,999",True,2416.666667,3,2,4000,Q1 2014,137.39,1.0,0,0,0.0,1,Review
36,1,AZ,Construction,Employed,98.0,True,False,740.0,759.0,9.0,8.0,18.0,8,260.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9171.0,0.32,19129.0,18.0,0.94,0.0,0.09,"$50,000-74,999",True,5833.333333,0,8,8500,Q3 2013,275.63,1.0,0,0,0.0,171,Approved
60,1,VA,Computer Programmer,Employed,35.0,False,False,740.0,759.0,25.0,22.0,48.0,20,823.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32898.0,0.43,42204.0,48.0,1.0,0.0,0.2,"$100,000+",True,10833.333333,0,10,19330,Q2 2013,415.37,0.7731,0,0,0.0,371,Approved
36,13,FL,Other,Other,121.0,True,False,700.0,719.0,10.0,9.0,18.0,5,300.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9103.0,0.97,178.0,17.0,0.94,0.0,0.49,"$50,000-74,999",True,5500.0,140,23,4000,Q2 2012,173.71,1.0,0,0,0.0,10,Denied
60,6,CA,Professional,Full-time,133.0,True,False,640.0,659.0,6.0,7.0,29.0,3,492.0,1.0,3.0,1.0,2469.0,12.0,0.0,0.0,14030.0,1.0,27.0,25.0,0.84,0.0,0.15,"$75,000-99,999",True,8291.666667,0,8,4000,Q3 2013,124.76,1.0,0,0,0.0,8,Denied
36,1,PA,Sales - Commission,Employed,179.0,False,False,740.0,759.0,10.0,9.0,34.0,7,451.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18573.0,0.54,15507.0,32.0,1.0,0.0,0.24,"$75,000-99,999",True,6250.0,0,12,15000,Q1 2013,482.18,1.0,0,0,0.0,303,Approved
60,1,OR,Laborer,Employed,18.0,False,False,680.0,699.0,15.0,15.0,24.0,8,331.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3140.0,0.6,1987.0,20.0,1.0,0.0,0.41,"$25,000-49,999",True,3075.0,0,5,6500,Q4 2013,180.45,1.0,0,0,0.0,1,Denied
